scenario,year,variable,value
SSP3,2037,intercept,-8.28202860483627
SSP3,2038,intercept,-8.28202860483627
SSP3,2039,intercept,-8.28202860483627
SSP3,2040,intercept,-8.28202860483627
SSP3,2041,intercept,-8.28202860483627
SSP3,2042,intercept,-8.28202860483627
SSP3,2043,intercept,-8.28202860483627
SSP3,2044,intercept,-8.28202860483627
SSP3,2045,intercept,-8.28202860483627
SSP3,2046,intercept,-8.28202860483627
SSP3,2047,intercept,-8.28202860483627
SSP3,2048,intercept,-8.28202860483627
SSP3,2049,intercept,-8.28202860483627
SSP3,2050,intercept,-8.28202860483627
SSP3,2051,intercept,-8.28202860483627
SSP3,2052,intercept,-8.28202860483627
SSP3,2053,intercept,-8.28202860483627
SSP3,2054,intercept,-8.28202860483627
SSP3,2055,intercept,-8.28202860483627
SSP3,2056,intercept,-8.28202860483627
SSP3,2057,intercept,-8.28202860483627
SSP3,2058,intercept,-8.28202860483627
SSP3,2059,intercept,-8.28202860483627
SSP3,2060,intercept,-8.28202860483627
SSP3,2061,intercept,-8.28202860483627
SSP3,2062,intercept,-8.28202860483627
SSP3,2063,intercept,-8.28202860483627
SSP3,2064,intercept,-8.28202860483627
SSP3,2065,intercept,-8.28202860483627
SSP3,2066,intercept,-8.28202860483627
SSP3,2067,intercept,-8.28202860483627
SSP3,2068,intercept,-8.28202860483627
SSP3,2069,intercept,-8.28202860483627
SSP3,2070,intercept,-8.28202860483627
SSP3,2071,intercept,-8.28202860483627
SSP3,2072,intercept,-8.28202860483627
SSP3,2073,intercept,-8.28202860483627
SSP3,2074,intercept,-8.28202860483627
SSP3,2075,intercept,-8.28202860483627
SSP3,2076,intercept,-8.28202860483627
SSP3,2077,intercept,-8.28202860483627
SSP3,2078,intercept,-8.28202860483627
SSP3,2079,intercept,-8.28202860483627
SSP3,2080,intercept,-8.28202860483627
SSP3,2081,intercept,-8.28202860483627
SSP3,2082,intercept,-8.28202860483627
SSP3,2083,intercept,-8.28202860483627
SSP3,2084,intercept,-8.28202860483627
SSP3,2085,intercept,-8.28202860483627
SSP3,2086,intercept,-8.28202860483627
SSP3,2087,intercept,-8.28202860483627
SSP3,2088,intercept,-8.28202860483627
SSP3,2089,intercept,-8.28202860483627
SSP3,2090,intercept,-8.28202860483627
SSP3,2091,intercept,-8.28202860483627
SSP3,2092,intercept,-8.28202860483627
SSP3,2093,intercept,-8.28202860483627
SSP3,2094,intercept,-8.28202860483627
SSP3,2095,intercept,-8.28202860483627
SSP3,2096,intercept,-8.28202860483627
SSP3,2097,intercept,-8.28202860483627
SSP3,2098,intercept,-8.28202860483627
SSP3,2099,intercept,-8.28202860483627
SSP3,2100,intercept,-8.28202860483627
SSP5,2013,intercept,-8.28202860483627
SSP5,2014,intercept,-8.28202860483627
SSP5,2015,intercept,-8.28202860483627
SSP5,2016,intercept,-8.28202860483627
SSP5,2017,intercept,-8.28202860483627
SSP5,2018,intercept,-8.28202860483627
SSP5,2019,intercept,-8.28202860483627
SSP5,2020,intercept,-8.28202860483627
SSP5,2021,intercept,-8.28202860483627
SSP5,2022,intercept,-8.28202860483627
SSP5,2023,intercept,-8.28202860483627
SSP5,2024,intercept,-8.28202860483627
SSP5,2025,intercept,-8.28202860483627
SSP5,2026,intercept,-8.28202860483627
SSP5,2027,intercept,-8.28202860483627
SSP5,2028,intercept,-8.28202860483627
SSP5,2029,intercept,-8.28202860483627
SSP5,2030,intercept,-8.28202860483627
SSP5,2031,intercept,-8.28202860483627
SSP5,2032,intercept,-8.28202860483627
SSP5,2033,intercept,-8.28202860483627
SSP5,2034,intercept,-8.28202860483627
SSP5,2035,intercept,-8.28202860483627
