scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP1,2066,0,20.1435039959349,-8282028604.83627,31750131.84375,4602842715.16724,5028.60249806779,180812.216226511,30893370721.1951,-10193601090.3029,40.8899869629979,3122920254.71174,1.27949383291063
SSP1,2067,0,20.177555721345,-8282028604.83627,31748005.109375,4602534400.73651,5030.62374803381,180812.814515773,30905788331.1661,-10193634819.8937,41.1777320222857,3144896414.1724,1.2816567620947
SSP1,2068,0,20.2210761599918,-8282028604.83627,31821507.8671875,4613190155.96319,5032.64499799982,180813.412805035,30918205941.1371,-10193668549.4846,41.4458976176222,3165377217.2123,1.28442113381798
SSP1,2069,0,20.2698042335419,-8282028604.83627,31941389.8359375,4630569543.52783,5034.66624796583,180814.011094297,30930623551.1081,-10193702279.0754,41.6942134856907,3184342022.81762,1.28751628894141
SSP1,2070,0,20.3254635491552,-8282028604.83627,32116266.578125,4655921568.6089,5036.68749793185,180814.609383559,30943041161.0792,-10193736008.6663,41.9288938321853,3202265432.9697,1.29105170914862
SSP1,2071,0,20.4386898891242,-8282028604.83627,32290183.875,4681134502.11425,5038.70874789786,180815.207672821,30955458771.0502,-10193769738.2571,42.9191497732093,3277894959.05321,1.29824372518231
SSP1,2072,0,20.494689744489,-8282028604.83627,32459873.8203125,4705734592.98829,5040.72999786387,180815.805962082,30967876381.0212,-10193803467.848,43.168134438187,3296910843.16379,1.30180077611037
SSP1,2073,0,20.5569603597933,-8282028604.83627,32684527.1484375,4738302770.65403,5042.75124782989,180816.404251344,30980293990.9922,-10193837197.4388,43.3948951373896,3314229400.42215,1.30575613900401
SSP1,2074,0,20.6247355280477,-8282028604.83627,32956221.6640625,4777690547.94421,5044.7724977959,180817.002540606,30992711600.9632,-10193870927.0296,43.6044372600742,3330232911.00627,1.31006114521463
SSP1,2075,0,20.6957218224621,-8282028604.83627,33255502.3984375,4821077522.04521,5046.79374776191,180817.600829868,31005129210.9342,-10193904656.6205,43.8036607719664,3345448350.93943,1.31457011872503
SSP1,2076,0,20.7955604812993,-8282028604.83627,33480911.2890625,4853755234.22773,5048.81499772792,180818.19911913,31017546820.9052,-10193938386.2113,44.520884826106,3400225417.21401,1.32091176356964
SSP1,2077,0,20.8688754570248,-8282028604.83627,33804459.3203125,4900660258.30683,5050.83624769394,180818.797408392,31029964430.8762,-10193972115.8022,44.7045353276999,3414251488.48018,1.3255686524267
SSP1,2078,0,20.944741366043,-8282028604.83627,34149232.9921875,4950642380.95693,5052.85749765995,180819.395697654,31042382040.8472,-10194005845.393,44.8812964790661,3427751394.46809,1.33038757383861
SSP1,2079,0,21.0218047081385,-8282028604.83627,34504345.0703125,5002123270.8603,5054.87874762596,180819.993986916,31054799650.8182,-10194039574.9839,45.0541121084475,3440949966.28017,1.33528255491909
SSP1,2080,0,21.0986115453252,-8282028604.83627,34857869.234375,5053373959.55661,5056.89999759197,180820.592276178,31067217260.7892,-10194073304.5747,45.22658333005,3454122234.39033,1.34016124308206
SSP1,2081,0,21.1126058738527,-8282028604.83627,34714056.296875,5032525279.77864,5056.76833095104,180916.278648474,31066408362.8197,-10199467789.1362,45.7640246507657,3495168625.22681,1.34105014786498
SSP1,2082,0,21.094410780656,-8282028604.83627,34634957.4375,5021058253.10788,5056.6366643101,181011.96502077,31065599464.8502,-10204862273.6977,45.757154695735,3494643941.23183,1.33989441500246
SSP1,2083,0,21.0764157794903,-8282028604.83627,34559361.484375,5010099045.63593,5056.50499766916,181107.651393066,31064790566.8807,-10210256758.2592,45.7462555120176,3493811530.06913,1.33875139177177
SSP1,2084,0,21.0591143163977,-8282028604.83627,34491564.078125,5000270399.91563,5056.37333102822,181203.337765363,31063981668.9112,-10215651242.8207,45.7296341544808,3492542095.2278,1.33765242133784
