scenario,year,climate_disasters
SSP2,2086,512.800861299038
SSP3,2086,605.235421538353
SSP5,2086,667.923018395901
SSP1,2087,422.061625957489
SSP2,2087,515.335566282272
SSP3,2087,610.90883564949
SSP5,2087,672.328423380852
SSP1,2088,422.016698360443
SSP2,2088,517.847838819027
SSP3,2088,616.485535025597
SSP5,2088,676.470779955387
SSP1,2089,421.967443466187
SSP2,2089,520.334746956825
SSP3,2089,621.865213871002
SSP5,2089,680.427366256714
SSP1,2090,421.91715323925
SSP2,2090,522.812512040138
SSP3,2090,627.092966079712
SSP5,2090,684.438220858574
SSP1,2091,421.870989918709
SSP2,2091,525.275116026402
SSP3,2091,632.301066994667
SSP5,2091,688.331779837608
SSP1,2092,421.83062338829
SSP2,2092,527.724861681461
SSP3,2092,637.475169301033
SSP5,2092,692.169907093048
SSP1,2093,421.790695548058
SSP2,2093,530.142070293427
SSP3,2093,642.16941177845
SSP5,2093,696.206539988518
SSP1,2094,421.754084706306
SSP2,2094,532.565681993961
SSP3,2094,646.967114448547
SSP5,2094,700.463698387146
SSP1,2095,421.722935557365
SSP2,2095,534.980132341385
SSP3,2095,651.676708161831
SSP5,2095,704.754960536957
SSP1,2096,421.688398122788
SSP2,2096,537.384454369545
SSP3,2096,656.251545786858
SSP5,2096,709.008426547051
SSP1,2097,421.660869777203
SSP2,2097,539.806774675846
SSP3,2097,660.772990107536
SSP5,2097,713.064348578453
SSP1,2098,421.643780052662
SSP2,2098,542.21969306469
SSP3,2098,665.163258910179
SSP5,2098,716.76405608654
SSP1,2099,421.631098985672
SSP2,2099,544.607404589653
SSP3,2099,669.334481716156
SSP5,2099,719.795418202877
SSP1,2100,421.619402527809
SSP2,2100,546.972197771072
SSP3,2100,673.422629833222
SSP5,2100,722.456023454666
