Scenario,year,pop
SSP3,2045,9556.88707439474
SSP3,2046,9626.75822079632
SSP3,2047,9696.21363341637
SSP3,2048,9765.08105590783
SSP3,2049,9833.18823192365
SSP3,2050,9900.36290511679
SSP3,2051,9966.46536456269
SSP3,2052,10031.4860810268
SSP3,2053,10095.4480706971
SSP3,2054,10158.3743497615
SSP3,2055,10220.2879344079
SSP3,2056,10281.2152920641
SSP3,2057,10341.1966951164
SSP3,2058,10400.2758671909
SSP3,2059,10458.4965319138
SSP3,2060,10515.9024129112
SSP3,2061,10572.5414292646
SSP3,2062,10628.4782818777
SSP3,2063,10683.7818671096
SSP3,2064,10738.5210813196
SSP3,2065,10792.7648208666
SSP3,2066,10846.5789730826
SSP3,2067,10900.0173891899
SSP3,2068,10953.1309113835
SSP3,2069,11005.9703818587
SSP3,2070,11058.5866428104
SSP3,2071,11111.0212287256
SSP3,2072,11163.2784432589
SSP3,2073,11215.3532823568
SSP3,2074,11267.240741966
SSP3,2075,11318.9358180327
SSP3,2076,11370.4378744665
SSP3,2077,11421.7637470275
SSP3,2078,11472.934639439
SSP3,2079,11523.9717554242
SSP3,2080,11574.8962987061
SSP3,2081,11625.7213680499
SSP3,2082,11676.4276423888
SSP3,2083,11726.9876956981
SSP3,2084,11777.3741019531
SSP3,2085,11827.5594351289
SSP3,2086,11877.5270685308
SSP3,2087,11927.3035727835
SSP3,2088,11976.9263178418
SSP3,2089,12026.4326736605
SSP3,2090,12075.8600101944
SSP3,2091,12125.2327357131
SSP3,2092,12174.5234117463
SSP3,2093,12223.6916381384
SSP3,2094,12272.697014734
SSP3,2095,12321.4991413776
SSP3,2096,12370.0602102506
SSP3,2097,12418.3527828827
SSP3,2098,12466.3520131404
SSP3,2099,12514.0330548903
SSP3,2100,12561.3710619989
SSP4,2011,6900.39742681312
SSP4,2012,6970.75613386646
SSP4,2013,7048.043780076
SSP4,2014,7128.57235595977
SSP4,2015,7208.65385203581
SSP4,2016,7285.34572156463
SSP4,2017,7358.68726877675
SSP4,2018,7429.46326064519
SSP4,2019,7498.45846414299
SSP4,2020,7566.45764624315
SSP4,2021,7634.06721759941
SSP4,2022,7701.18016358833
SSP4,2023,7767.5111132672
SSP4,2024,7832.7746956933
SSP4,2025,7896.68553992389
SSP4,2026,7959.0229383033
SSP4,2027,8019.82483632395
SSP4,2028,8079.1938427653
SSP4,2029,8137.23256640682
SSP4,2030,8194.04361602796
SSP4,2031,8249.70922505621
SSP4,2032,8304.23012551109
SSP4,2033,8357.58667406015
SSP4,2034,8409.75922737093
SSP4,2035,8460.72814211098
SSP4,2036,8510.47756457276
SSP4,2037,8559.00679954845
SSP4,2038,8606.31894145514
SSP4,2039,8652.41708470991
SSP4,2040,8697.30432372985
SSP4,2041,8740.97937497093
SSP4,2042,8783.42344304458
SSP4,2043,8824.61335460109
SSP4,2044,8864.52593629076
SSP4,2045,8903.1380147639
SSP4,2046,8940.42147270087
SSP4,2047,8976.32841690229
SSP4,2048,9010.80601019884
SSP4,2049,9043.80141542122
SSP4,2050,9075.26179540011
SSP4,2051,9105.14421700917
SSP4,2052,9133.44536329396
SSP4,2053,9160.17182134302
SSP4,2054,9185.33017824488
SSP4,2055,9208.92702108807
SSP4,2056,9230.9737607013
SSP4,2057,9251.50110287394
SSP4,2058,9270.54457713556
SSP4,2059,9288.13971301571
SSP4,2060,9304.32204004392
SSP4,2061,9319.1296484212
SSP4,2062,9332.6108710342
SSP4,2063,9344.81660144103
SSP4,2064,9355.7977331998
SSP4,2065,9365.6051598686
SSP4,2066,9374.28918709264
SSP4,2067,9381.89776886561
SSP4,2068,9388.47827126828
SSP4,2069,9394.07806038142
