scenario,year,displaced_persons
SSP1,2064,31.324521703125
SSP1,2065,31.376053515625
SSP1,2066,31.75013184375
SSP1,2067,31.748005109375
SSP1,2068,31.8215078671875
SSP1,2069,31.9413898359375
SSP1,2070,32.116266578125
SSP1,2071,32.290183875
SSP1,2072,32.4598738203125
SSP1,2073,32.6845271484375
SSP1,2074,32.9562216640625
SSP1,2075,33.2555023984375
SSP1,2076,33.4809112890625
SSP1,2077,33.8044593203125
SSP1,2078,34.1492329921875
SSP1,2079,34.5043450703125
SSP1,2080,34.857869234375
SSP1,2081,34.714056296875
SSP1,2082,34.6349574375
SSP1,2083,34.559361484375
SSP1,2084,34.491564078125
SSP1,2085,34.41808378125
SSP1,2086,34.270260703125
SSP1,2087,34.203116375
SSP1,2088,34.1365889609375
SSP1,2089,34.063630140625
SSP1,2090,33.9905143828125
SSP1,2091,33.8455975859375
SSP1,2092,33.7725205546875
SSP1,2093,33.698380265625
SSP1,2094,33.6246100234375
SSP1,2095,33.5533948984375
SSP1,2096,33.4019951796875
SSP1,2097,33.3400516875
SSP1,2098,33.2803500859375
SSP1,2099,33.222454828125
SSP1,2100,33.1690741953125
SSP2,2023,18.426321921875
SSP2,2024,19.093286875
SSP2,2025,20.482461328125
SSP2,2026,23.108488546875
SSP2,2027,23.381513875
SSP2,2028,23.4890613125
SSP2,2029,23.66124790625
SSP2,2030,23.9253465234375
SSP2,2031,25.3447550078125
SSP2,2032,25.703596671875
SSP2,2033,26.033298640625
SSP2,2034,26.218515921875
SSP2,2035,26.1017655234375
SSP2,2036,27.3203695078125
SSP2,2037,26.7390959296875
SSP2,2038,25.872837171875
SSP2,2039,25.1121453046875
SSP2,2040,24.5205129140625
SSP2,2041,25.9695100234375
SSP2,2042,25.731988328125
SSP2,2043,25.5221837890625
SSP2,2044,25.38120290625
SSP2,2045,25.408579125
SSP2,2046,27.4075751328125
SSP2,2047,27.4650565234375
SSP2,2048,27.572149140625
SSP2,2049,27.7338708984375
SSP2,2050,27.9377734453125
SSP2,2051,30.1536894140625
SSP2,2052,30.2726704296875
SSP2,2053,30.4027404921875
SSP2,2054,30.5568116796875
SSP2,2055,30.828006421875
SSP2,2056,32.9706271796875
SSP2,2057,33.403013734375
SSP2,2058,33.919604109375
SSP2,2059,34.5773571328125
SSP2,2060,35.3755476953125
SSP2,2061,37.839636109375
SSP2,2062,38.286660859375
SSP2,2063,38.7571617109375
SSP2,2064,39.29060584375
SSP2,2065,39.9072052890625
SSP2,2066,41.78400146875
SSP2,2067,42.2795437734375
SSP2,2068,42.94570015625
SSP2,2069,43.7610849296875
SSP2,2070,44.728144328125
SSP2,2071,46.20258409375
SSP2,2072,46.4286079375
SSP2,2073,46.6353073828125
SSP2,2074,46.8854195234375
SSP2,2075,47.2040338359375
SSP2,2076,48.0483060078125
SSP2,2077,48.255804296875
SSP2,2078,48.515956171875
SSP2,2079,48.8418402578125
SSP2,2080,49.1650644609375
SSP2,2081,49.6113777578125
SSP2,2082,49.6732908046875
SSP2,2083,49.773117578125
SSP2,2084,49.913349953125
SSP2,2085,50.0786854765625
SSP2,2086,50.3727998515625
SSP2,2087,50.485979609375
SSP2,2088,50.65536703125
SSP2,2089,50.867848078125
SSP2,2090,51.106928484375
SSP2,2091,51.353282
SSP2,2092,51.5499368359375
