iso3,countryname,pin_2018,pin_2019,pin_2020,pin_2021,pin_2022,pin_2023,source_2019,source_2020,source_2021,source_2022,source_2023
SOM,Somalia,5.4,5.4,5.3,7.74,7.846888,8.250301,ACAPS,ACAPS,ACAPS,HPC,HPC
SSD,South Sudan,7,7.26,7.5,8.310533,12.52,12.52,ACAPS,HPC,HPC,ACAPS,ACAPS
SVK,Slovakia,,,,,0.95,0.11,,,,ACAPS,ACAPS
SWZ,Swaziland,0.177,,0.37,0.37,0.34,0.26,,ACAPS,ACAPS,ACAPS,ACAPS
SYR,Syrian Arab Republic,13.1,11.71,11.71,13.4,14.560823,15.334271,ACAPS,ACAPS,ACAPS,HPC,ACAPS
TCD,Chad,4.859413,4.269261,6.4,6.4,6.4,6.9,HPC,ACAPS,ACAPS,ACAPS,HPC
TGO,Togo,0.00851,,3.5,,,,,HPC,,,
THA,Thailand,0.105959,,0.09,0.09,0.09,0.09,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
TLS,Timor-Leste,,,,0.01,,,,,ACAPS,,
TON,Tonga,,,,,,,,,,ACAPS,
TTO,Trinidad and Tobago,,0.06,0.06,0.06,0.06,0.04,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
TUN,Tunisia,,,,,0.01,0.01,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
TUR,Turkey,11.14138,2.73,2.66,2.42,2.43,9.1,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
TZA,"Tanzania, United Republic of",0.330755,0.29,11.1,0.29,0.85,1.36,ACAPS,HPC,ACAPS,ACAPS,ACAPS
UGA,Uganda,2.3,1.69,13.57,1.53,2.26,2.28,ACAPS,HPC,ACAPS,ACAPS,ACAPS
UKR,Ukraine,3.4,3.5,3.5,3.4,17.7,17.6,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
VCT,Saint Vincent and the Grenadines,,,,0.01,,,,,ACAPS,,
VEN,Venezuela (Bolivarian Republic of),,14.92,14.32,14.8,18.52,18.52,ACAPS,ACAPS,ACAPS,ACAPS,ACAPS
VNM,Viet Nam,,,0.18,1,,,,ACAPS,ACAPS,,
VUT,Vanuatu,,,0.12,0.12,,0.15,,ACAPS,ACAPS,,ACAPS
YEM,Yemen,22.2,24.16,24.3,24.16,23.458603,23.4,ACAPS,HPC,ACAPS,HPC,ACAPS
ZMB,Zambia,1.2,2.28,9.79,1.68,1.95,1.95,ACAPS,HPC,ACAPS,ACAPS,ACAPS
ZWE,Zimbabwe,2.4,5.57,7.481602,7,7,7,ACAPS,HPC,ACAPS,ACAPS,ACAPS
