displaced_persons,displaced_persons_t1,displaced_persons_t2,displaced_persons_t3,mean_displaced_persons_t1_o1,mean_displaced_persons_t2_o1,mean_displaced_persons_t3_o1,mean_displaced_persons_t1_o2,mean_displaced_persons_t2_o2,mean_displaced_persons_t3_o2,mean_displaced_persons_t1_o3,mean_displaced_persons_t2_o3,mean_displaced_persons_t3_o3,Region,year,pop,gdp,urban
0,0,0,0,0,0,0,0,0,0,0,0,0,SUR,1960,0.29,,47.26
0,0,0,0,0,0,0,0,0,0,0,0,0,MRT,1960,0.854167,,6.88
0,0,0,0,0,0,0,0,0,0,0,0,0,BHR,1960,0.161825,,82.32
0,0,0,0,0,0,0,0,0,0,0,0,0,KWT,1960,0.263718,,74.893
0,0,0,0,0,0,0,0,0,0,0,0,0,DJI,1960,0.084877,,50.325
0,0,0,0,0,0,0,0,0,0,0,0,0,ECU,1960,4.439206,,33.878
0,0,0,0,0,0,0,0,0,0,0,0,0,GMB,1960,0.372625,,12.129
0,0,0,0,0,0,0,0,0,0,0,0,0,PRY,1960,1.905829,,35.569
0,0,0,0,0,0,0,0,0,0,0,0,0,THA,1960,27.312399,,19.672
0,0,0,0,0,0,0,0,0,0,0,0,0,LTU,1960,2.769849,,39.46
0,0,0,0,0,0,0,0,0,0,0,0,0,KOR,1960,25.074152,,27.71
0,0,0,0,0,0,0,0,0,0,0,0,0,CIV,1960,3.638385,,17.679
0,0,0,0,0,0,0,0,0,0,0,0,0,MLI,1960,5.247877,,11.066
0,0,0,0,0,0,0,0,0,0,0,0,0,BTN,1960,0.225993,,3.596
0,0,0,0,0,0,0,0,0,0,0,0,0,CAN,1960,17.909009,,69.061
0,0,0,0,0,0,0,0,0,0,0,0,0,DEU,1960,72.814899,,71.384
0,0,0,0,0,0,0,0,0,0,0,0,0,MYS,1960,8.160113,,26.598
0,0,0,0,0,0,0,0,0,0,0,0,0,USA,1960,186.326215,,69.996
0,0,0,0,0,0,0,0,0,0,0,0,0,TJK,1960,2.082499,,33.168
0,0,0,0,0,0,0,0,0,0,0,0,0,NER,1960,3.249965,,5.793
0,0,0,0,0,0,0,0,0,0,0,0,0,AZE,1960,3.894494,,47.718
0,0,0,0,0,0,0,0,0,0,0,0,0,UKR,1960,42.78301,,46.792
0,0,0,0,0,0,0,0,0,0,0,0,0,BIH,1960,3.18002,,19.04
0,0,0,0,0,0,0,0,0,0,0,0,0,HRV,1960,4.045251,,30.154
0,0,0,0,0,0,0,0,0,0,0,0,0,CRI,1960,1.334004,,34.254
0,0,0,0,0,0,0,0,0,0,0,0,0,EST,1960,1.216003,,57.533
0,0,0,0,0,0,0,0,0,0,0,0,0,GAB,1960,0.485732,,17.398
0,0,0,0,0,0,0,0,0,0,0,0,0,LVA,1960,2.13189,,52.867
0,0,0,0,0,0,0,0,0,0,0,0,0,VEN,1960,7.562108,,61.613
0,0,0,0,0,0,0,0,0,0,0,0,0,FJI,1960,0.393366,,29.681
0,0,0,0,0,0,0,0,0,0,0,0,0,GEO,1960,4.1595,,43.069
0,0,0,0,0,0,0,0,0,0,0,0,0,MKD,1960,1.391996,,34.02
0,0,0,0,0,0,0,0,0,0,0,0,0,SVN,1960,1.58001,,28.204
0,0,0,0,0,0,0,0,0,0,0,0,0,MDA,1960,3.0035,,23.424
0,0,0,0,0,0,0,0,0,0,0,0,0,SAU,1960,4.041422,,31.25
0,0,0,0,0,0,0,0,0,0,0,0,0,JAM,1960,1.629025,,33.769
0,0,0,0,0,0,0,0,0,0,0,0,0,UZB,1960,8.558503,,33.978
0,0,0,0,0,0,0,0,0,0,0,0,0,AUT,1960,7.042634,,64.72
0,0,0,0,0,0,0,0,0,0,0,0,0,BRB,1960,0.230831,,36.777
0,0,0,0,0,0,0,0,0,0,0,0,0,BLR,1960,8.190006,,32.401
0,0,0,0,0,0,0,0,0,0,0,0,0,BLZ,1960,0.092633,,54.028
0,0,0,0,0,0,0,0,0,0,0,0,0,DNK,1960,4.57977,,73.687
0,0,0,0,0,0,0,0,0,0,0,0,0,FRA,1960,45.688594,,61.88
0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,1960,52.544356,,78.444
0,0,0,0,0,0,0,0,0,0,0,0,0,GUY,1960,0.560184,,29.009
0,0,0,0,0,0,0,0,0,0,0,0,0,HKG,1960,3.075605,,85.2
0,0,0,0,0,0,0,0,0,0,0,0,0,IRL,1960,2.828866,,45.822
0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,1960,49.519312,,59.361
0,0,0,0,0,0,0,0,0,0,0,0,0,JPN,1960,92.500572,,43.086
0,0,0,0,0,0,0,0,0,0,0,0,0,KAZ,1960,9.995997,,44.198
0,0,0,0,0,0,0,0,0,0,0,0,0,KGZ,1960,2.1725,,34.181
0,0,0,0,0,0,0,0,0,0,0,0,0,MEX,1960,38.418829,,50.753
0,0,0,0,0,0,0,0,0,0,0,0,0,MLT,1960,0.312905,,90.129
0,0,0,0,0,0,0,0,0,0,0,0,0,NPL,1960,9.740462,,3.48
