iso3,lon,lat
WB276,-62.48347661,14.00756703
WB277,-45,13.5
WB278,-27.00614879,13.49506083
WB279,-16.67050613,12.54707024
WB280,47.90909066,13.37787088
WB281,38.52349714,18.0877659
WB282,63.06939948,13.48822776
WB283,73.56197056,12.48192405
WB284,85.20057265,13.30509921
WB285,101.65968933,10.69093509
WB286,107.15241078,9.69107476
WB287,93.94489842,13.15253744
WB288,107.39120331,17.40185667
WB289,106.34489572,18.06649981
WB290,116.76031373,13.5769638
WB291,135.00570013,13.50398856
WB292,126.00494017,9.86226227
WB293,152.99400953,13.51829727
WB294,171.00002713,13.5000163
WB295,-171.00000033,22.49999293
WB296,-152.96963146,22.52040048
WB297,-135,22.5
WB298,-117.2830039,22.42482375
WB299,-106.55516981,20.57445806
WB300,-93.77040812,23.05403053
WB301,-107.99503964,24.95084073
WB302,-107.9998337,24.86256019
WB303,-107.98842591,24.78640804
WB304,-80.83782118,22.85298324
WB305,-72.83819915,18.12521215
WB306,-62.76257439,22.6773285
WB307,-68.63835213,18.1276468
WB308,-71.90831789,18.08190025
WB309,-45,22.5
WB310,-27,22.5
WB311,-14.92881552,23.94630144
WB312,35.28020877,25.58835691
WB313,38.17890682,21.44085061
WB314,52.23279279,25.75540656
WB315,63.59656601,21.63852314
WB316,71.99751102,21.8244782
WB317,87.79840654,19.65431942
WB318,72.42323692,19.88186668
WB319,73.03091968,18.05380843
WB320,91.63219246,19.8694607
WB321,107.04996973,19.46167691
WB322,90.00336725,22.48554476
WB323,90.02845646,22.08642633
WB324,107.99707385,21.54792712
WB325,119.10404494,21.62088611
WB326,120.19784629,27.23651224
WB327,135.00540471,22.4965506
WB328,153.01068491,22.5189205
WB329,171.00000906,22.50000668
WB330,-170.99998385,31.50000803
WB331,-153,31.5
WB332,-135,31.5
WB333,-121.26377917,30.98723281
WB334,-112.9377544,29.36090624
WB335,-110.00362092,27.11589415
WB336,-93.23851602,28.25365085
WB337,-97.61816977,27.3400076
WB338,-90.18743952,30.19693366
WB339,-76.03515419,31.13766713
WB340,-86.52812626,28.62152192
WB341,-62.99993505,31.49997016
WB342,-45,31.5
WB343,-27.00071755,31.50030295
WB344,-12.71243672,32.32864813
WB345,14.7047315,34.11661128
WB346,0.03961267,35.94157988
WB347,34.23946222,27.99348251
WB348,26.83639444,33.82743978
WB349,30.46955165,36.28791445
WB350,49.98222552,28.51030074
WB351,56.34225478,27.15554471
WB352,123.38296936,31.89800816
WB353,120.25469736,27.27954211
WB354,120.34601682,27.24871247
WB355,135.25187276,31.14969987
WB356,153,31.5
WB357,171,31.5
WB358,-171,40.5
WB359,-153,40.5
WB360,-135,40.5
WB361,-124.67538442,39.81651708
WB362,-73.78078649,38.21953676
WB363,-76.6995301,36.29099294
WB364,-76.15338878,36.27369689
WB365,-75.95094854,36.26981868
WB366,-75.90824061,36.4569428
WB367,-74.51152012,45.09051142
WB368,-62.55969116,40.32818618
WB369,-45,40.5
WB370,-26.99944264,40.50354698
WB371,-12.27506363,40.95534981
WB372,-1.62496029,36.81620485
WB373,-0.56838354,45.00208804
WB374,-0.1241962,39.39229553
WB375,8.41736695,39.52647622
WB376,15.31284276,43.12801721
WB377,26.73202166,40.59804244
WB378,18.00376372,40.09349021
WB379,18.00915336,40.02254233
WB380,30.23018548,36.30006236
WB381,31.26738984,36.50446569
WB382,33.63429272,36.16937048
WB383,35.02406595,36.38078668
WB384,38.3961048,42.69504707
WB385,36.08858688,36.72006719
WB386,122.30704566,38.22037349
WB387,126.30694298,36.93923751
WB388,143.42326511,44.69518859
WB389,136.31650122,40.20955466
WB390,153.06864691,40.47535964
WB391,171,40.5
WB392,-170.98002385,49.52808391
WB393,-153,49.5
WB394,-135.52177589,49.3346685
WB395,-124.74937892,47.3600617
WB396,-125.69289359,50.83242939
WB397,-125.97469131,50.62905252
WB398,-125.95160261,49.36237981
WB399,-80.33262678,52.98135253
WB400,-73.40518552,45.78148664
WB401,-59.53971073,48.59222278
WB402,-66.08129579,45.3743577
WB403,-64.8985405,45.55274372
WB404,-64.85907345,45.34476576
WB405,-64.12118258,45.37254451
WB406,-59.45001313,53.77774317
WB407,-54.08836959,48.40521404
WB408,-54.00899746,48.74407448
WB409,-54.00443168,48.7763681
WB410,-54.10449712,48.8049111
WB411,-54.01465889,49.44207265
WB412,-44.90702475,49.51914607
WB413,-53.95050107,47.4939826
WB414,-27,49.5
WB415,-10.37137323,49.25694483
WB416,-9.00361837,54.2944007
WB417,-0.26342575,53.66295591
WB418,-0.07814272,53.92000412
WB419,11.43624328,54.15933864
WB420,13.08318155,45.48329717
WB421,3.27561959,52.76543125
WB422,13.15597798,54.2644442
WB423,12.40456755,54.26954057
WB424,10.7347347,54.31898424
WB425,10.15346353,54.32886895
WB426,12.16261579,45.31298523
WB427,14.41347587,45.27534998
WB428,14.29293234,54.03998797
WB429,13.36161394,54.25476301
WB430,31.55965353,45.83719956
WB431,35.99878594,45.00114063
WB432,33.38519916,45.18164468
WB433,35.60839244,45.06619077
WB434,35.52169052,45.94634601
WB435,36.07215101,45.02141973
WB436,37.23769659,46.22530383
WB437,141.2759902,48.12505798
WB438,139.23923153,54.23619439
WB439,138.06093491,53.94099437
WB440,137.58437195,54.30384245
WB441,136.97356526,54.05999865
WB442,143.62041689,52.47837434
WB443,152.79299668,49.40755909
WB444,170.99249864,49.49519783
WB445,-171.56825411,58.45667379
WB446,-163.27837372,63.06145222
WB447,-163.68410094,63.04828767
WB448,-162.0169373,59.2704325
WB449,-162.01581144,55.20838438
WB450,-160.07857975,57.5925936
WB451,-150.87657211,56.70522314
WB452,-161.95807859,60.68066099
WB453,-161.91277289,59.54467996
WB454,-161.86461038,58.91328062
WB455,-138.90952615,56.55419479
WB456,-129.80792318,54.23129206
WB457,-129.52877237,54.23243693
WB458,-91.94326307,60.03401468
WB459,-83.02960841,59.30066752
WB460,-72.12457704,61.60854131
WB461,-60.62257695,59.61018054
WB462,-44.90692231,58.15744656
WB463,-27,58.5
WB464,-9.59022738,58.88850537
