timeindep,conflict,ltsc0,Dec-50,Dec-60,Dec-70,Dec-80,Dec-90,Dec-00,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0
220,2,4.905274778,0,0,0,0,0,1,3,0,4.905274868,0,5,4,1.386294365,5.393627644,7.462082863,175.7257538,,6.923662186,0.538420677,0.863202453,4.2342453,12.5690918,10.5861702,61.65485001,51.92807388
221,0,0,0,0,0,0,0,1,3,0,0,0,6,5,1.609437943,5.398162842,7.646831036,180.9104004,,6.923662186,0.72316885,0.862735569,0,12.5785675,10.59500694,0,0
222,0,0,0,0,0,0,0,1,3,0,0,0,7,6,1.791759491,5.402677536,7.556499481,184.9816742,,6.923662186,0.632837296,0.863300025,0,12.58752823,10.61161804,0,0
223,0,0.693147181,0,0,0,0,0,1,3,0,0.693147182,0,8,7,1.945910096,5.407171726,7.51755476,194.835144,,6.923662186,0.593892574,0.864970922,0.599552155,12.59638119,10.63656902,8.731145859,7.372707844
224,0,1.098612289,0,0,0,0,0,1,3,0,1.098612309,0,9,8,2.079441547,5.411645889,7.656632423,187.0436249,,6.923662186,0.732970238,0.867830157,0.953408897,12.60540485,10.65764523,13.84845257,11.70862007
225,0,1.386294361,0,0,0,0,0,1,3,0,1.386294365,0,10,9,2.197224617,5.416100502,7.664004326,181.7332458,,6.923662186,0.74034214,0.870350301,1.206561685,12.61467552,10.67424583,17.48765373,14.79764652
226,0,1.609437912,0,0,0,0,0,1,3,0,1.609437943,0,11,10,2.302585125,5.420535088,7.733337879,175.015976,,6.923662186,0.809675694,0.872888505,1.4048599,12.62408161,10.68362808,20.31767464,17.19463539
227,0,1.791759469,0,0,0,0,0,1,3,0,1.791759491,0,12,11,2.397895336,5.424950123,6.729101658,183.506012,,6.923662186,-0.194560528,0.875444829,1.568586588,12.63348579,10.67057228,22.63616753,19.11909866
228,0,1.945910149,0,0,0,0,0,1,3,0,1.945910096,0,13,12,2.484906673,5.429345608,6.940497398,187.5827332,,6.923662186,0.016835213,0.878019631,1.708547354,12.64268684,10.63022137,24.60153198,20.68545532
229,0,2.079441542,0,0,0,0,0,1,3,0,2.079441547,0,14,13,2.564949274,5.433722019,7.419600487,181.3584137,,6.923662186,0.495938301,0.880612791,1.831182837,12.64556503,10.64932919,26.29571342,22.14465714
230,0,2.197224577,0,0,0,0,0,1,3,0,2.197224617,0,15,14,2.639057398,5.438079357,7.463097572,180.8461914,,6.923662186,0.539435387,0.885923743,1.946573377,12.65380001,10.66652107,27.80323982,23.43674278
231,0,2.302585093,0,0,0,0,0,1,3,0,2.302585125,0,16,15,2.708050251,5.442417622,7.873372555,165.2862396,,6.923662186,0.949710369,0.891234696,2.052143812,12.66196823,10.68314934,29.15526009,24.59885979
232,0,2.397895273,0,0,0,0,0,0,3,0,2.397895336,0,17,16,2.77258873,5.446737289,7.305119038,183.9607391,,6.923662186,0.381456852,0.896545649,2.149822474,12.67006969,10.69924355,30.38150024,25.65566635
233,0,2.48490665,0,0,0,0,0,0,3,0,2.484906673,0,18,17,2.833213329,5.451038361,7.778901577,,,6.923662186,0.855239391,0.901856601,2.241029501,12.67810631,10.71483135,31.50391006,26.62535477
93,0,4.532599493,0,1,0,0,0,0,3,0,4.532599449,0,12,11,2.397895336,4.532599449,-6.792273521,109.0344086,,-7.062576294,0.270302773,0.735024631,3.331572294,9.793071747,9.465984344,44.38807297,42.90551758
94,0,4.543294782,0,1,0,0,0,0,3,0,4.543294907,0,13,12,2.484906673,4.543294907,-7.748386383,105.299057,,-7.062576294,-0.685810089,0.742198884,3.372028351,9.81439209,9.477114677,44.5896759,43.05732727
95,0,4.553876892,0,1,0,0,0,0,3,0,4.553876877,0,14,13,2.564949274,4.553876877,-7.201900959,110.5479584,,-7.062576294,-0.139324665,0.749443591,3.412873745,9.834021568,9.527257919,44.78292465,43.38595963
96,0,4.564348191,0,1,0,0,0,0,3,0,4.564348221,0,15,14,2.639057398,4.564348221,-7.069948196,110.5799103,,-7.062576294,-0.007371902,0.756759405,3.454113483,9.852419853,9.55914402,44.96987534,43.63125992
97,0,4.574710979,0,1,0,0,0,0,3,0,4.574710846,0,16,15,2.708050251,4.574710846,-8.027860641,113.2941208,,-7.062576294,-0.965284348,0.764147043,3.495751858,9.870202065,9.605126381,45.15332031,43.94067764
98,0,4.584967479,0,1,0,0,0,0,3,0,4.584967613,0,17,16,2.77258873,4.584967613,-7.816906452,108.3814087,,-7.062576294,-0.754330158,0.77160728,3.537794352,9.887799263,9.651273727,45.33523941,44.25077438
99,0,4.59511985,0,1,0,0,0,0,3,0,4.595119953,0,18,17,2.833213329,4.595119953,-7.607924938,111.7576904,,-7.062576294,-0.545348644,0.77914077,3.580245256,9.905274391,9.696411133,45.51592255,44.55617142
100,0,4.605170186,0,1,0,0,0,0,3,0,4.60517025,0,19,18,2.890371799,4.60517025,-7.817272186,109.7226868,,-7.062576294,-0.754695892,0.78674823,3.623109579,9.922513008,9.707151413,45.69486237,44.70308304
101,0,4.615120517,0,1,0,0,0,0,3,0,4.615120411,0,20,19,2.944438934,4.615120411,-7.159608841,114.7366943,,-7.062576294,-0.097032547,0.794430435,3.666392088,9.939524651,9.742610931,45.87210464,44.9633255
102,0,4.624972813,0,1,0,0,0,0,3,0,4.62497282,0,21,20,2.995732307,4.62497282,-6.912844658,110.3206024,,-7.062576294,0.149731636,0.802188098,3.710098028,9.956282616,9.78027153,46.04753494,45.23348999
103,0,4.634728988,0,0,1,0,0,0,3,0,4.634728909,0,22,21,3.044522524,4.634728909,-7.601365089,110.3767242,,-7.062576294,-0.538788795,0.810021937,3.754232168,9.972752571,9.791797638,46.22100449,45.38232803
104,0,4.644390899,0,0,1,0,0,0,3,0,4.64439106,0,23,22,3.091042519,4.64439106,-7.311375141,115.0116806,-7.311375141,-7.062576294,-0.248798847,0.817932785,3.798799515,9.989005089,9.817178726,46.39284515,45.5948143
105,0,4.65396035,0,0,1,0,0,0,3,0,4.653960228,0,24,23,3.135494232,4.653960228,-9.373222351,106.6767883,-9.373222351,-7.062576294,-2.310646057,0.825921297,3.843805075,10.00501823,9.854247093,46.56295776,45.86127472
106,0,4.663439094,0,0,1,0,0,0,3,0,4.663439274,0,25,24,3.178053856,4.663439274,-6.677060604,114.7993469,-6.677060604,-7.062576294,0.38551569,0.833988369,3.889253855,10.02055931,9.904622078,46.73026657,46.1896019
107,0,4.672828834,0,0,1,0,0,0,3,0,4.672828674,0,26,25,3.218875885,4.672828674,-8.237658501,113.6134338,-8.237658501,-7.062576294,-1.175082207,0.842134595,3.935150862,10.03532791,9.922935486,46.89336777,46.36817932
108,0,4.682131227,0,0,1,0,0,0,3,0,4.68213129,0,27,26,3.258096457,4.68213129,-7.425317764,111.8437042,-7.425317764,-7.062576294,-0.36274147,0.85036093,3.981501579,10.04913807,9.922083855,47.05138397,46.45649719
109,0,4.691347882,0,0,1,0,0,0,3,0,4.691348076,0,28,27,3.295836926,4.691348076,-7.362579823,112.0955048,-7.362579823,-7.062576294,-0.300003529,0.854823589,4.010274887,10.0619936,9.95953846,47.20431137,46.72365952
110,0,4.700480366,0,0,1,0,0,0,3,0,4.700480461,0,29,28,3.33220458,4.700480461,-6.358074188,113.8434982,-6.358074188,-7.062576294,0.704502106,0.859310687,4.039173126,10.07403374,9.98178196,47.35279846,46.91917038
111,0,4.709530201,0,0,1,0,0,0,3,0,4.709530354,0,30,29,3.367295742,4.709530354,-7.822831154,107.2772217,-7.822831154,-7.062576294,-0.76025486,0.863822222,4.068196774,10.08540058,10.01051712,47.49749756,47.14483261
112,0,4.718498871,0,0,1,0,0,0,3,0,4.718498707,0,31,30,3.401197433,4.718498707,-7.640582085,113.4374847,-7.640582085,-7.062576294,-0.578005791,0.868358493,4.09734869,10.09628963,10.03787899,47.63933182,47.36371994
113,0,4.727387819,0,0,0,1,0,0,3,0,4.727387905,0,32,31,3.433987141,4.727387905,-6.851763725,115.203064,-6.851763725,-7.062576294,0.210812569,0.8729195,4.126628876,10.10687923,10.04630566,47.77913666,47.49278259
114,0,4.736198448,0,0,0,1,0,0,3,0,4.736198425,0,33,32,3.465735912,4.736198425,-5.347812176,113.5736847,-5.347812176,-7.062576294,1.714764118,0.87707603,4.154006004,10.11713791,10.06833076,47.91677475,47.68561172
115,0,4.744932128,0,0,0,1,0,0,3,0,4.744932175,0,34,33,3.496507645,4.744932175,-8.415909767,111.4712524,-8.415909767,-7.062576294,-1.353333473,0.881253958,4.181490421,10.12714195,10.02726936,48.05260086,47.57871246
