humanitarian_needs,displaced_persons,climate_affected_persons,conflict,temp,gdp,pop,urban,iso3,lat,lon,year
0,288698,37625097.6346517,0,64,23982.2468262444,1372.08620479573,59.6259012147675,CHN,36.52169689,103.9662147,2021
0,277572,155461365.204152,0,64,25583.3308674289,1372.49141049695,60.6461742753816,CHN,36.52169689,103.9662147,2022
0,109360,96142.1975,0,54,33.5374121676332,20.9518831292764,54.1781014468281,CIV,7.62796652,-5.56900019,2014
0,393131,96142.1975,0,54,35.1381720850233,21.2162512708338,55.0995296540025,CIV,7.62796652,-5.56900019,2015
0,65439,96142.1975,0,54,36.9070216671112,21.4792248574648,55.9981945053044,CIV,7.62796652,-5.56900019,2016
0,66544,96142.1975,0,54,38.8732217870581,21.7413428056172,56.874622313499,CIV,7.62796652,-5.56900019,2017
0,61171,96142.1975,0,54,41.0921184121511,22.0016791796854,57.7327479601949,CIV,7.62796652,-5.56900019,2018
0,59232,96142.1975,0,54,43.6190575096772,22.2593080440634,58.5765063270007,CIV,7.62796652,-5.56900019,2019
0,77135,96142.1975,0,54,46.5093850469235,22.5133034631456,59.4098322955248,CIV,7.62796652,-5.56900019,2020
0,72548,96142.1975,0,54,49.8108460412497,22.7626825575924,60.2357797105476,CIV,7.62796652,-5.56900019,2021
0,47140,1894631.92704,0,54,53.5407817103066,23.0062346731295,61.0538782695366,CIV,7.62796652,-5.56900019,2022
98222610,15752,127645.731,0,54,43.6481270827269,21.0775437900137,61.4947911198223,CMR,5.69305821,12.73698417,2014
274359862,110579,127645.731,0,54,46.244894927268,21.423985806255,62.2562106920381,CMR,5.69305821,12.73698417,2015
287078352,220176,127645.731,0,54,48.72373221108,21.7713897557839,63.0168422825802,CMR,5.69305821,12.73698417,2016
309643212,257334,127645.731,0,54,51.1295965549295,22.1193258123487,63.7761172348746,CMR,5.69305821,12.73698417,2017
304524867,732250,127645.731,0,54,53.5746055693203,22.4661299848867,64.5328490462843,CMR,5.69305821,12.73698417,2018
298882369,1038369,127645.731,0,54,56.1708768647564,22.8101382823353,65.285851214172,CMR,5.69305821,12.73698417,2019
2831881924,1134436,127645.731,0,54,59.0305280517418,23.1496867136321,66.0339372359007,CMR,5.69305821,12.73698417,2020
361554315,1080766,127645.731,0,54,62.2450508851447,23.483323608882,66.7760931257292,CMR,5.69305821,12.73698417,2021
376046051,1158365,2071290.84125,0,54,65.8234336972909,23.8104465828601,67.5119949655009,CMR,5.69305821,12.73698417,2022
832097250,3340689,546435.219815368,0,54,27.7868842594138,72.9861115899758,39.1957789995841,COD,-2.87979987,23.64511365,2014
6.92e+08,2172628,546435.219815368,0,54,30.7922198378925,74.7623634029693,40.2646900874564,COD,-2.87979987,23.64511365,2015
6.9e+08,2853083,546435.219815368,0,54,34.3521800002669,76.5563325973835,41.3085550176318,COD,-2.87979987,23.64511365,2016
812614297,5108333,546435.219815368,0,54,38.629979269269,78.3672887403627,42.3280623959421,COD,-2.87979987,23.64511365,2017
1675200000,5370590,546435.219815368,0,54,43.7929601688684,80.1933120595034,43.3301463731694,COD,-2.87979987,23.64511365,2018
1653700000,5962729,546435.219815368,0,54,50.0084652230348,82.032482782402,44.3217411000957,COD,-2.87979987,23.64511365,2019
2.51e+09,6183895,546435.219815368,0,54,57.4438369557378,83.8828811366548,45.309780727503,COD,-2.87979987,23.64511365,2020
1984303303,6464340,546435.219815368,0,54,66.2457778847589,85.7414076941433,46.2995629259287,COD,-2.87979987,23.64511365,2021
1881674597,6608023,6125455.99781537,0,54,76.4784305031265,87.6002444038888,47.2898394449313,COD,-2.87979987,23.64511365,2022
14269108,17908,66628.3865,0,54,15.888683375216,4.4234080637714,65.4394326118879,COG,-0.83887999,15.21833616,2014
0,18843,66628.3865,0,54,17.4202030433724,4.51515037836032,66.324635665399,COG,-0.83887999,15.21833616,2015
0,32940,66628.3865,0,54,18.8431252072312,4.60699560178988,67.1478261767132,COG,-0.83887999,15.21833616,2016
23700000,134191,66628.3865,0,54,20.1915233171107,4.69891197011474,67.9121825394332,COG,-0.83887999,15.21833616,2017
0,163116,66628.3865,0,54,21.5457314263313,4.79069906469256,68.6309284015639,COG,-0.83887999,15.21833616,2018
0,158400,66628.3865,0,54,22.9860835882131,4.88215646688101,69.31728741111,COG,-0.83887999,15.21833616,2019
2660698501,159856,66628.3865,0,54,24.5929138560768,4.97308375803773,69.9844832160763,COG,-0.83887999,15.21833616,2020
534319123,161478,66628.3865,0,54,26.4282657229954,5.06328535687598,70.6430545840936,COG,-0.83887999,15.21833616,2021
595687989,49741,564891.6498125,0,54,28.4810204410542,5.15258503153134,71.292800761297,COG,-0.83887999,15.21833616,2022
0,6409155,421393.148893263,0,64,432.927773541996,48.5690426660839,78.4016834559497,COL,3.90941305,-73.0838421,2014
0,7286062,421393.148893263,0,64,459.912630164626,49.0870241257018,79.265457631793,COL,3.90941305,-73.0838421,2015
0,7734456,421393.148893263,0,64,483.626030329463,49.5922580759293,80.0269987638874,COL,3.90941305,-73.0838421,2016
0,7901722,421393.148893263,0,64,504.293841066902,50.0849186168223,80.6934114460051,COL,3.90941305,-73.0838421,2017
0,8000730,421393.148893263,0,64,522.952056526089,50.5643878597411,81.2861206670337,COL,3.90941305,-73.0838421,2018
737611378,8241214,421393.148893263,0,64,540.636670856175,51.0300479160461,81.8265514158605,COL,3.90941305,-73.0838421,2019
2918438395,8513571,421393.148893263,0,64,558.383678206309,51.4812808970976,82.336128681373,COL,3.90941305,-73.0838421,2020
174010305,6962499,421393.148893263,0,64,577.055678587307,51.917488502544,82.8321768121709,COL,3.90941305,-73.0838421,2021
2069052821,7087837,4169044.56576826,0,64,596.821695456662,52.3381507851854,83.315617595703,COL,3.90941305,-73.0838421,2022
0,928,8291.2835,0,39,0.780413494952174,0.795232766722676,32.5465562008872,COM,-11.88421621,43.68016319,2014
0,776,8291.2835,0,39,0.80911997796029,0.807754775555583,33.8724299074878,COM,-11.88421621,43.68016319,2015
0,798,8291.2835,0,39,0.840857484603633,0.819689621422287,35.1347515240865,COM,-11.88421621,43.68016319,2016
0,922,8291.2835,0,39,0.876242985688584,0.831111122925283,36.3366966450539,COM,-11.88421621,43.68016319,2017
0,1124,8291.2835,0,39,0.91613637718819,0.842059940559518,37.4997294360155,COM,-11.88421621,43.68016319,2018
0,2117,8291.2835,0,39,0.961397555075498,0.85257673481994,38.6453140625967,COM,-11.88421621,43.68016319,2019
0,3436,8291.2835,0,39,1.01288641532356,0.862702166201495,39.7949146904231,COM,-11.88421621,43.68016319,2020
0,3503,8291.2835,0,39,1.07131536860812,0.87247499348433,40.965117685137,COM,-11.88421621,43.68016319,2021
0,2692,17525.3720947222,0,39,1.13680688441583,0.881926368589379,42.1529982124478,COM,-11.88421621,43.68016319,2022
0,73,1142,0,39,2.21252675964927,0.509206809601774,64.7297043800863,CPV,15.93614025,-23.96723977,2014
0,122,1142,0,39,2.32462958212118,0.511861866179991,65.6269894329038,CPV,15.93614025,-23.96723977,2015
0,108,1142,0,39,2.43822796149164,0.514371922069659,66.4755281170877,CPV,15.93614025,-23.96723977,2016
