humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,0,64,0,0.563718975,10.62824917,9.682163239,3.555348061,0,0,0,3.135494232,3.555348158,10.62824917,34.4234603,5.288267136
0,0,0,64,0,0.583755732,10.63526821,9.715294838,3.583518938,0,0,0,3.178053856,3.583518982,10.63526821,34.81494304,5.29330492
0,0,0,23,1,0.830862105,8.031416893,7.738644123,2.197224577,1,0,0,2.197224617,0,8.031416893,17.00353906,2.197224617
0,0,0,23,1,0.833814681,8.026157379,7.835175514,2.302585093,1,0,0,2.302585125,0,8.026157379,18.04115834,2.302585125
0,0,0,23,1,0.836779833,8.021913528,7.963284492,2.397895273,1,0,0,2.397895336,0,8.021913528,19.09512224,2.397895336
0,0,0,23,1,0.839757621,8.018306732,8.098277092,2.48490665,1,0,0,2.484906673,0,8.018306732,20.1234626,2.484906673
0,0,0,23,1,0.842748165,8.014882088,8.201255798,2.564949357,1,0,0,2.564949274,0,8.014882088,21.03580579,2.564949274
0,0,0,23,1,0.845751464,8.011327744,8.33466053,2.63905733,1,0,0,2.639057398,0,8.011327744,21.99564696,2.639057398
0,0,0,23,1,0.84831053,8.00733757,8.462618828,2.708050201,1,0,0,2.708050251,0,8.00733757,22.91719662,2.708050251
0,0,0,23,1,0.850882292,8.002988815,8.59579277,2.772588722,1,0,0,2.77258873,0,8.002988815,23.83259809,2.77258873
0,0,0,23,1,0.853466988,7.998835087,8.666669846,2.833213344,1,0,0,2.833213329,0,7.998835087,24.55452466,2.833213329
0,0,0,23,1,0.856064677,7.995695591,8.517241478,2.890371758,1,0,0,2.890371799,0,7.995695591,24.61799422,2.890371799
0,0,0,23,1,0.858633578,8.036596298,8.497112274,2.944438979,1,0,0,2.944438934,0,8.036596298,25.01922859,2.944438934
0,0,0,23,1,0.864471674,8.035107613,8.53738308,2.995732274,1,0,0,2.995732307,0,8.035107613,25.57571402,2.995732307
0,0,0,23,1,0.87030977,8.03361702,8.576207161,3.044522438,1,0,0,3.044522524,0,8.03361702,26.11045513,3.044522524
0,0,0,23,1,0.876147866,8.032123566,8.613690376,3.091042453,1,0,0,3.091042519,0,8.032123566,26.62528263,3.091042519
0,0,0,23,0,0.881985962,8.030628204,8.649925232,3.135494216,0,0,0,3.135494232,3.135494232,8.030628204,27.12179053,3.135494232
0,0,0,64,0,0.855190217,9.865753174,10.29236889,4.59511985,0,0,0,3.912023067,4.595119953,9.865753174,47.29466859,4.595119953
0,0,0,64,0,0.851313651,9.877515793,10.29770184,4.605170186,0,0,0,3.931825638,4.60517025,9.877515793,47.42266948,4.60517025
0,0,0,64,0,0.849289596,9.889116287,10.32388115,4.615120517,0,0,0,3.951243639,4.615120411,9.889116287,47.64595571,4.615120411
0,0,0,64,0,0.849277735,9.901141167,10.34256363,4.624972813,0,0,0,3.970291853,4.62497282,9.901141167,47.8340756,4.62497282
0,0,0,64,0,0.851457357,9.914352417,10.37160778,4.634728988,0,0,0,3.988984108,4.634728909,9.914352417,48.06959123,4.634728909
0,0,0,64,0,0.856029272,9.929191589,10.38978195,4.644390899,0,0,0,4.007333279,4.64439106,9.929191589,48.25420874,4.64439106
0,0,0,64,0,0.860726416,9.945856094,10.40500259,4.65396035,0,0,0,4.025351524,4.653960228,9.945856094,48.42446952,4.653960228
0,0,0,64,0,0.865488291,9.963936806,10.42693615,4.663439094,0,0,0,4.043051243,4.663439274,9.963936806,48.62538167,4.663439274
0,0,0,64,0,0.870316029,9.982534409,10.44655037,4.672828834,0,0,0,4.060442924,4.672828674,9.982534409,48.81494179,4.672828674
0,0,0,64,0,0.875210822,10.00048447,10.44462204,4.682131227,0,0,0,4.077537537,4.68213129,10.00048447,48.90309101,4.68213129
0,0,0,64,0,0.880172312,10.01092339,10.48366928,4.691347882,0,0,0,4.094344616,4.691348076,10.01092339,49.18253968,4.691348076
0,0,0,64,0,0.885411799,10.02781105,10.50283909,4.700480366,0,0,0,4.110873699,4.700480461,10.02781105,49.36838892,4.700480461
0,0,0,64,0,0.890651345,10.04441833,10.52103424,4.709530201,0,0,0,4.127134323,4.709530354,10.04441833,49.54912851,4.709530354
0,0,0,64,0,0.895890832,10.06075382,10.53833008,4.718498871,0,0,0,4.143134594,4.718498707,10.06075382,49.72509858,4.718498707
0,0,0,64,0,0.901130378,10.07682705,10.55479431,4.727387819,0,0,0,4.158883095,4.727387905,10.07682705,49.89660606,4.727387905
