Model,Scenario (History),Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2008,2010
History,World Bank (WDI),CYP,GDP|PPP,billion US$2005/yr,5.73585414361359,7.50833095336231,10.5011494430888,13.0946762827069,15.7914556472858,18.5138968623524,21.0016967600552,20.8674801952466
History,World Bank (WDI),CZE,GDP|PPP,billion US$2005/yr,,,169.121513532384,161.152009341504,173.471582145701,208.425031957387,242.083528023872,237.484389890756
History,World Bank (WDI),DEU,GDP|PPP,billion US$2005/yr,1633.15257136139,1747.67636903558,2055.81020957029,2271.42085713824,2490.81363084511,2565.9973532967,2777.69213494368,2732.53058152566
History,World Bank (WDI),DJI,GDP|PPP,billion US$2005/yr,,,1.53866671122178,1.31467955715716,1.28503157562684,1.48758781428461,1.73353182069848,
History,World Bank (WDI),DMA,GDP|PPP,billion US$2005/yr,0.301429802370677,0.385792266788517,0.506276269489759,0.546670573248837,0.588336680592864,0.638182502316198,0.751097956863345,0.748179850690491
History,World Bank (WDI),DNK,GDP|PPP,billion US$2005/yr,106.507081471688,121.779234131474,130.796575337503,146.819247900672,169.01248455636,179.888492352213,186.821331793869,180.181072335433
History,World Bank (WDI),DOM,GDP|PPP,billion US$2005/yr,21.8195446616208,23.9938234660158,27.5801162710317,35.6035576194825,49.7051442769169,59.109442656999,74.6904159483108,83.2596523857104
History,World Bank (WDI),DZA,GDP|PPP,billion US$2005/yr,119.605307683655,151.290820343108,157.141815763386,159.165957662739,185.688666988421,235.762969399859,253.637197467128,266.748995543052
History,World Bank (WDI),ECU,GDP|PPP,billion US$2005/yr,45.3483875708904,48.5461664079625,55.5504224859673,63.3843496400407,66.4306422944593,87.4111730062778,100.196254254662,104.160450565611
History,World Bank (WDI),EGY,GDP|PPP,billion US$2005/yr,108.051606121917,149.66695104399,184.020027084516,217.47375455444,280.154215353964,333.218411473091,408.541539644079,449.697710283577
History,World Bank (WDI),ERI,GDP|PPP,billion US$2005/yr,,,,2.2578447702941,2.35404293801683,2.67428182145842,2.42331875746154,2.57271804003427
History,World Bank (WDI),ESP,GDP|PPP,billion US$2005/yr,574.958529518995,616.183454670603,767.772416367086,827.384417885999,1011.76707066677,1188.10230105294,1291.02678003253,1241.18085080343
History,World Bank (WDI),EST,GDP|PPP,billion US$2005/yr,13.4437029287583,15.4418504709522,15.9210591766689,11.2378553585588,15.0674882378548,22.2751601149633,24.9986088900874,22.1923205664732
History,World Bank (WDI),ETH,GDP|PPP,billion US$2005/yr,,20.5172411380877,26.3533116157323,27.6930179623816,34.5795273219891,47.2369178453808,64.6480505229464,77.4614105893993
History,World Bank (WDI),FIN,GDP|PPP,billion US$2005/yr,85.351653929791,97.7568077943704,115.391155152379,111.897891222262,141.480399890266,161.09683205176,178.918471440335,170.182100894519
History,World Bank (WDI),FJI,GDP|PPP,billion US$2005/yr,2.18185483325646,2.1659520056035,2.50103626327481,2.84071890971362,3.15442537913635,3.55614403380593,3.62797948268729,3.59322893719334
History,World Bank (WDI),FRA,GDP|PPP,billion US$2005/yr,1117.90300748583,1206.9955411607,1414.18329468095,1502.84087622037,1718.29336313915,1860.69968739896,1948.59799469075,1923.45670581018
History,World Bank (WDI),FSM,GDP|PPP,billion US$2005/yr,,,0.253674855985968,0.32735053562904,0.325402281292979,0.334165577411925,0.319662848850861,0.331857592020443
History,World Bank (WDI),GAB,GDP|PPP,billion US$2005/yr,11.6094809555322,13.110565286081,13.8838218670606,16.1572305382917,16.3688751962316,17.8390292661146,19.4947740498492,20.3230259297914
History,World Bank (WDI),GBR,GDP|PPP,billion US$2005/yr,1034.20165399024,1152.09075527878,1356.57504294085,1471.61938154093,1742.50790452712,1971.25275549212,2079.25306508667,2004.67299704933
History,World Bank (WDI),GEO,GDP|PPP,billion US$2005/yr,30.6425699593613,37.967981514743,29.4754698822703,8.32844892741163,11.0555987383598,15.7467599480428,19.7982718031576,20.2638236708003
History,World Bank (WDI),GHA,GDP|PPP,billion US$2005/yr,10.8435547119663,10.6127037366804,13.419119082182,16.5492463965046,20.4456163064198,26.1411970014296,32.107312708486,35.9672326021832
History,World Bank (WDI),GIN,GDP|PPP,billion US$2005/yr,,,4.96478268684504,6.0107190442656,7.39953964259332,8.7781884062872,9.60745850729715,9.76570160691595
History,World Bank (WDI),GMB,GDP|PPP,billion US$2005/yr,0.761349467662257,0.888904712347476,1.08613734606952,1.20496701866571,1.50119121083061,1.7425098320834,1.96158786181945,2.18673453503849
History,World Bank (WDI),GNB,GDP|PPP,billion US$2005/yr,0.755685324286509,1.02160152262859,1.22799886348367,1.43534987074225,1.42143765085728,1.39052700140301,1.51293083372607,1.61236509628971
History,World Bank (WDI),GNQ,GDP|PPP,billion US$2005/yr,,0.699851626562647,0.747420196411934,1.04428378781732,4.51774735035993,15.0800748826879,20.5243495344685,21.8217229432884
History,World Bank (WDI),GRC,GDP|PPP,billion US$2005/yr,164.335886113137,165.456696637532,175.96861685991,187.216092501242,221.807584202036,270.363806316208,293.438570406641,273.916064367627
History,World Bank (WDI),GRD,GDP|PPP,billion US$2005/yr,0.35877665605373,0.44255330661831,0.614544100378164,0.642754505648361,0.924034913355822,1.03057552420838,1.08427447505628,0.985563581598029
History,World Bank (WDI),GTM,GDP|PPP,billion US$2005/yr,27.2519705714938,25.7496164277484,29.7278269221717,36.657830137083,44.4969956518858,51.6518201811914,59.7603956806474,61.7597110460898
History,World Bank (WDI),GUY,GDP|PPP,billion US$2005/yr,1.59921210001226,1.27722358807051,1.13360250804967,1.59730389797095,1.82718391975792,1.89273625882637,2.17169635272979,2.32412337633519
History,World Bank (WDI),HKG,GDP|PPP,billion US$2005/yr,70.6054981341348,93.1513961983194,135.180080238607,174.318090281184,198.517185446263,243.080794359888,283.149120641752,294.826492209933
History,World Bank (WDI),HND,GDP|PPP,billion US$2005/yr,10.2289609591727,11.1396554809398,12.9962647545975,15.4641967549786,17.9572859015841,22.5423039154589,26.5886958545284,26.7439056322597
