Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,GRD,Population|Urban|Share,%,30.332,31.274,32.212,32.565,32.921,33.183,33.428,34.548,35.871,37.371,39.291
History,WUP2009,GRL,Population|Urban|Share,%,58.534,66.05,72.744,74.389,76.121,77.961,79.698,80.861,81.6,82.84,84.2
History,WUP2009,GTM,Population|Urban|Share,%,31.121,33.989,35.545,36.718,37.401,39.152,41.117,43.11,45.127,47.186,49.458
History,WUP2009,GUF,Population|Urban|Share,%,63.327,65.745,67.433,69.121,70.759,72.651,74.517,74.796,75.084,75.583,76.35
History,WUP2009,GUM,Population|Urban|Share,%,50.147,55.548,61.92,83.632,93.753,92.339,90.796,92.055,93.103,93.103,93.168
History,WUP2009,GUY,Population|Urban|Share,%,29.009,29.209,29.425,29.967,30.488,30.033,29.583,29.137,28.694,28.34,28.604
History,WUP2009,HKG,Population|Urban|Share,%,85.2,86.422,87.729,89.695,91.478,92.92,99.517,100,100,100,100
History,WUP2009,HND,Population|Urban|Share,%,22.747,25.704,28.902,32.11,34.87,37.735,40.46,42.941,45.458,48.649,51.604
History,WUP2009,HRV,Population|Urban|Share,%,30.154,34.977,40.196,45.126,50.061,52.291,54.039,54.892,55.587,56.451,57.738
History,WUP2009,HTI,Population|Urban|Share,%,15.593,17.58,19.762,20.404,20.541,23.261,28.51,32.59,35.6,44.087,52.087
History,WUP2009,HUN,Population|Urban|Share,%,55.911,58.022,60.112,62.231,64.191,65.095,65.838,65.209,64.575,66.281,68.095
History,WUP2009,IDN,Population|Urban|Share,%,14.586,15.789,17.071,19.317,22.104,26.089,30.584,35.554,42.001,43.05,44.281
History,WUP2009,IMN,Population|Urban|Share,%,55.123,56.305,55.831,52.403,51.784,51.765,51.746,51.783,51.823,51.194,50.649
History,WUP2009,IND,Population|Urban|Share,%,17.924,18.785,19.76,21.332,23.098,24.348,25.547,26.593,27.665,28.716,30.01
History,WUP2009,IRL,Population|Urban|Share,%,45.822,48.709,51.722,53.634,55.333,56.275,56.906,57.92,59.146,60.477,61.941
History,WUP2009,IRN,Population|Urban|Share,%,33.735,37.068,41.212,45.747,49.693,53.395,56.33,60.236,64.2,67.589,70.753
History,WUP2009,IRQ,Population|Urban|Share,%,42.899,50.651,56.154,61.379,65.521,68.767,69.706,68.78,67.83,66.9,66.173
History,WUP2009,ISL,Population|Urban|Share,%,80.3,82.72,84.9,86.669,88.26,89.57,90.75,91.63,92.37,92.911,93.416
History,WUP2009,ISR,Population|Urban|Share,%,76.848,80.94,84.195,86.643,88.583,89.828,90.359,90.866,91.434,91.682,91.853
History,WUP2009,ITA,Population|Urban|Share,%,59.361,61.843,64.272,65.643,66.64,66.826,66.726,66.922,67.222,67.611,68.36
History,WUP2009,JAM,Population|Urban|Share,%,33.769,37.499,41.324,44.013,46.739,48.424,49.444,50.615,51.814,52.027,52.006
History,WUP2009,JOR,Population|Urban|Share,%,50.879,54.262,55.971,57.65,59.939,66.259,72.229,78.206,78.257,78.308,78.527
History,WUP2009,JPN,Population|Urban|Share,%,43.086,47.382,53.204,56.825,59.566,60.555,63.093,64.635,65.216,65.962,66.833
History,WUP2009,KAZ,Population|Urban|Share,%,44.198,47.047,50.236,52.564,54.142,56.01,56.266,55.921,56.278,57.1,58.506
History,WUP2009,KEN,Population|Urban|Share,%,7.362,8.605,10.295,12.914,15.709,16.982,18.224,18.966,19.732,20.743,22.18
History,WUP2009,KGZ,Population|Urban|Share,%,34.181,35.851,37.466,38.186,38.627,38.377,37.777,36.349,35.19,35.089,34.549
History,WUP2009,KHM,Population|Urban|Share,%,10.285,10.83,15.97,4.41,8.972,12.6,12.6,14.157,16.907,18.759,20.108
History,WUP2009,KIR,Population|Urban|Share,%,16.29,19.625,24.088,29.606,32.284,33.541,34.987,36.409,42.958,43.551,43.901
History,WUP2009,KNA,Population|Urban|Share,%,27.644,30.855,34.141,35.027,35.882,35.243,34.609,33.715,32.778,32.182,32.41
History,WUP2009,KOR,Population|Urban|Share,%,27.71,32.351,40.704,48.033,56.72,64.876,73.844,78.239,79.621,81.345,82.958
History,WUP2009,KWT,Population|Urban|Share,%,74.893,79.273,85.661,89.384,94.781,97.904,98.007,98.104,98.199,98.292,98.384
History,WUP2009,LAO,Population|Urban|Share,%,7.946,8.323,9.625,11.081,12.377,13.804,15.437,17.378,21.977,27.386,33.184
History,WUP2009,LBN,Population|Urban|Share,%,42.343,50.935,59.475,66.978,73.672,79.422,83.12,84.82,86,86.601,87.244
History,WUP2009,LBR,Population|Urban|Share,%,18.632,22.108,26.025,30.382,35.167,39.267,40.935,42.624,44.331,46.051,47.815
History,WUP2009,LBY,Population|Urban|Share,%,27.323,33.666,49.671,62.785,70.094,75.45,75.723,75.994,76.37,77.006,77.888
History,WUP2009,LCA,Population|Urban|Share,%,21.46,22.66,23.907,25.2,26.54,27.923,29.349,29.6,27.957,27.6,27.966
History,WUP2009,LIE,Population|Urban|Share,%,20.437,19.471,18.453,18.324,18.274,17.619,16.928,16.482,15.13,14.635,14.307
