timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,17.0,16.0,2.77,4.36,24.92,39.34,24.92,26.32,-1.4,0.49,0.0,9.64,7.58,0.0,0.0,0,1
9.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.2,0.0,10.0,9.0,2.2,2.2,28.2,366.37,28.2,28.98,-0.78,0.17,0.36,7.55,8.87,16.58,19.49,0,0
33.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.5,0.0,34.0,33.0,3.5,3.5,29.39,442.06,29.39,28.98,0.41,0.2,0.68,7.81,8.89,27.3,31.09,0,0
292.0,5.25,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.25,0.0,50.0,49.0,3.89,5.68,14.82,187.86,-99.0,13.08,1.75,0.75,3.95,11.02,10.21,57.81,53.59,0,0
31.0,3.43,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.43,1.0,1.0,1.0,0.0,3.43,19.06,161.05,19.06,19.2,-0.15,0.82,2.82,6.66,9.78,22.88,33.6,0,0
149.0,3.64,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,9.0,2.2,5.0,23.94,443.5,23.94,24.71,-0.77,0.22,0.78,11.5,8.4,41.82,30.56,0,0
53.0,2.77,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,50.0,49.0,3.89,3.97,19.01,36.42,19.01,17.79,1.22,0.2,0.55,9.68,8.2,26.84,22.74,0,0
34.0,3.53,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,31.0,30.0,3.4,3.53,18.77,39.34,18.77,18.5,0.27,0.49,1.74,7.73,8.28,27.27,29.19,0,0
10.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.3,0.0,11.0,10.0,2.3,2.3,8.26,125.46,-99.0,7.85,0.41,0.91,2.1,9.23,9.86,21.25,22.69,0,0
71.0,2.4,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.4,0.0,24.0,23.0,3.14,4.26,25.11,321.65,25.11,25.63,-0.52,0.44,1.06,9.12,8.21,21.88,19.7,0,0
24.0,3.18,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,9.0,8.0,2.08,3.18,22.59,245.24,22.59,22.7,-0.11,0.03,0.1,9.99,6.72,31.75,21.35,0,0
40.0,2.48,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.48,0.0,3.0,2.0,0.69,3.69,28.32,177.01,28.32,28.07,0.25,0.06,0.14,9.36,6.81,23.26,16.91,0,0
9.0,2.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.2,0.0,10.0,9.0,2.2,2.2,23.9,389.94,23.9,23.24,0.66,0.09,0.2,6.83,8.26,15.0,18.14,0,0
9.0,2.2,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,5.0,1.61,2.2,28.43,62.35,-99.0,28.93,-0.5,0.15,0.32,8.13,6.91,17.86,15.19,0,0
23.0,3.14,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,9.0,8.0,2.08,3.14,20.29,289.36,20.29,20.89,-0.6,0.04,0.13,8.72,6.65,27.34,20.87,0,0
139.0,4.93,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.93,0.0,5.0,4.0,1.39,4.93,-5.04,109.84,-99.0,-7.06,2.02,0.94,4.63,10.39,10.48,51.28,51.73,0,0
10.0,2.3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,2.3,1.0,1.0,9.0,2.2,2.3,1.87,96.16,-99.0,0.96,0.9,0.84,1.94,8.51,7.36,19.61,16.95,0,0
